states,x,y
Ladakh,-104,268
Jammu And Kashmir,-150,244
Himachal Pradesh,-100,206
Punjab,-135,183
Chandigarh,-106,177
Uttarakhand,-66,166
Haryana,-115,142
Delhi,-99,128
Uttar Pradesh,-32,90
Rajasthan,-182,89
Madhya Pradesh,-85,10
Gujrat,-223,3
Bihar,86,64
Sikkim,123,112
Arunachal Pradesh,230,134
Assam,204,90
Nagaland,242,89
Meghalya,175,67
Manipur,236,46
Tripura,189,22
Mizoram,216,17
West Bengal,116,13
Jharkhand,58,18
Odisha,53,-46
Chhattisgarh,-5,-32
Maharashtra,-146,-70
Daman And Diu,-192,-60
Goa,-177,-165
Telangana,-65,-106
Andhra Pradesh,-62,-167
Puducherry,13,-142
Karnataka,-136,-185
Tamil Nadu,-75,-264
Kerala,-125,-282
Lakshadweep,-219,-288
Andaman And Nicobar Islands,203,-237
